Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
154,Zé Marcos,brBRA,DF,Vitória,26,1998,27.0,23,18,14,7,2,11,18,61.1,7,24,18,6,19,42,173,1,Matches
155,João Marcelo,brBRA,DF,Cruzeiro,24,2000,2.5,4,4,0,4,0,2,3,66.7,1,5,4,1,5,9,21,0,Matches
156,Fernando Marçal,brBRA,DF,Botafogo (RJ),35,1989,11.2,16,11,13,3,0,9,13,69.2,4,20,11,9,14,30,56,1,Matches
157,Manoel,brBRA,DF,Fluminense,34,1990,3.8,0,0,0,0,0,0,1,0.0,1,7,3,4,0,0,17,0,Matches
158,Eros Mancuso,arARG,DF,Fortaleza,25,1999,26.4,59,34,44,10,5,40,72,55.6,32,20,3,17,23,82,69,0,Matches
159,Gustavo Mancha,brBRA,DF,Fortaleza,20,2004,11.4,20,11,10,10,0,12,20,60.0,8,3,1,2,15,35,55,0,Matches
160,Léo Mana,brBRA,DF,Corinthians,20,2004,2.5,3,2,0,2,1,1,4,25.0,3,3,0,3,3,6,10,0,Matches
161,Maik,brBRA,DF,São Paulo,20,2005,6.7,22,13,6,7,9,14,18,77.8,4,9,1,8,7,29,16,0,Matches
162,Willian Machado,brBRA,DF,Ceará,28,1996,35.8,51,32,33,17,1,20,27,74.1,7,34,21,13,35,86,264,1,Matches
163,Lyanco,brBRA,DF,Atlético Mineiro,27,1997,15.7,30,18,22,4,4,12,18,66.7,6,20,13,7,37,67,80,3,Matches
164,David Luiz,brBRA,DF,Fortaleza,37,1987,4.4,5,4,4,1,0,3,3,100.0,0,8,7,1,5,10,30,0,Matches
165,Luisão,brBRA,DF,Santos,21,2003,4.9,7,3,3,4,0,4,11,36.4,7,6,3,3,3,10,32,2,Matches
166,João Lucas,brBRA,DF,Grêmio,26,1998,5.6,13,11,10,3,0,7,11,63.6,4,7,1,6,8,21,26,0,Matches
167,Ayrton Lucas,brBRA,DF,Flamengo,27,1997,13.7,31,26,17,13,1,13,26,50.0,13,12,5,7,9,40,29,0,Matches
168,David Loiola,brBRA,DF,Botafogo (RJ),22,2002,20.3,25,12,18,6,1,17,28,60.7,11,28,16,12,16,41,111,0,Matches
169,Mauricio Lemos,uyURU,DF,Vasco da Gama,29,1995,2.7,1,1,0,1,0,1,1,100.0,0,9,9,0,3,4,17,1,Matches
170,Leandrinho,brBRA,DF,Vasco da Gama,19,2005,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
171,Benjamín Kuscevic,clCHI,DF,Fortaleza,28,1996,19.0,37,25,27,10,0,22,31,71.0,9,22,14,8,16,53,116,3,Matches
172,Gabriel Knesowitsch,brBRA,DF,Mirassol,21,2003,4.0,3,3,2,1,0,2,3,66.7,1,4,2,2,1,4,36,0,Matches
173,Khellven,brBRA,DF,Palmeiras,23,2001,10.8,16,10,9,7,0,9,26,34.6,17,8,2,6,7,23,28,0,Matches
174,Kevyson,brBRA,DF,Sport Recife,20,2004,3.0,8,6,7,1,0,8,12,66.7,4,6,2,4,5,13,16,0,Matches
175,Kevyson,brBRA,DF,Santos,20,2004,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
176,Kanu,brBRA,DF,Bahia,27,1997,5.7,7,6,4,3,0,3,6,50.0,3,6,5,1,6,13,21,0,Matches
177,Walter Kannemann,arARG,DF,Grêmio,33,1991,19.1,26,14,18,6,2,12,18,66.7,6,37,23,14,22,48,128,3,Matches
178,Kaiki,brBRA,DF,Cruzeiro,21,2003,33.3,98,75,65,25,8,37,53,69.8,16,30,8,22,42,140,145,0,Matches
179,Wanderson Junior,brBRA,DF,Flamengo,17,2007,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
180,Juninho,brBRA,DF,Internacional,29,1995,16.7,28,17,18,8,2,9,19,47.4,10,24,18,6,18,46,98,0,Matches
181,Luciano Juba,brBRA,DF,Bahia,25,1999,32.0,48,28,29,10,9,30,53,56.6,23,16,2,14,36,84,120,3,Matches
182,José,brBRA,DF,Cruzeiro,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
183,Jonathan,brBRA,DF,Cruzeiro,20,2004,8.9,15,9,12,3,0,9,19,47.4,10,10,6,4,11,26,57,0,Matches
184,Felipe Jonatan,brBRA,DF,Mirassol,26,1998,4.9,4,3,1,2,1,1,4,25.0,3,2,0,2,3,7,9,0,Matches
185,Maykon Jesus,brBRA,DF,Vitória,19,2005,8.5,15,8,4,10,1,5,9,55.6,4,5,2,3,6,21,50,1,Matches
186,Jemmes,brBRA,DF,Mirassol,24,2000,36.4,64,44,46,15,3,44,66,66.7,22,38,28,10,42,106,214,2,Matches
187,Jemerson,brBRA,DF,Grêmio,32,1992,8.6,18,12,12,6,0,10,12,83.3,2,5,2,3,9,27,53,0,Matches
188,Jamerson,brBRA,DF,Vitória,26,1998,11.4,27,19,18,5,4,12,19,63.2,7,9,4,5,12,39,42,0,Matches
189,Zé Ivaldo,brBRA,DF,Santos,27,1997,20.0,30,22,18,10,2,20,37,54.1,17,24,17,7,23,53,110,1,Matches
190,Isaac,brBRA,DF,Atlético Mineiro,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
191,Ignácio,brBRA,DF,Fluminense,28,1996,12.7,25,15,18,7,0,10,13,76.9,3,15,11,4,15,40,94,1,Matches
192,Iago,brBRA,DF,Flamengo,19,2005,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,Matches
193,José Hurtado,ecECU,DF,RB Bragantino,23,2001,20.7,38,27,19,17,2,19,36,52.8,17,25,5,20,19,57,69,1,Matches
194,Vitor Hugo,brBRA,DF,Atlético Mineiro,33,1991,18.2,27,17,19,7,1,17,21,81.0,4,22,16,6,26,53,114,2,Matches
195,Victor Hugo,brBRA,DF,Sport Recife,16,2008,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
196,Diogo Hereda,brBRA,DF,Sport Recife,26,1998,9.4,20,17,10,7,3,11,16,68.8,5,7,2,5,7,27,17,0,Matches
197,Pedro Henrique,brBRA,DF,RB Bragantino,29,1995,29.5,29,18,24,5,0,20,36,55.6,16,34,27,7,32,61,216,2,Matches
198,Paulo Henrique,brBRA,DF,Vasco da Gama,28,1996,27.7,85,57,46,32,7,49,73,67.1,24,40,13,27,34,119,105,2,Matches
199,Gustavo Henrique,brBRA,DF,Corinthians,31,1993,23.0,28,21,20,6,2,13,23,56.5,10,30,23,7,18,46,125,1,Matches
200,Lucas Halter,brBRA,DF,Vitória,24,2000,32.3,39,28,32,7,0,23,33,69.7,10,48,37,11,16,55,189,3,Matches
201,Luiz Gustavo,brBRA,DF,Vasco da Gama,18,2006,3.2,4,2,3,1,0,1,3,33.3,2,3,3,0,2,6,24,0,Matches
202,Guilherme,brBRA,DF,RB Bragantino,22,2002,7.1,17,10,12,3,2,11,17,64.7,6,17,6,11,4,21,19,0,Matches
